"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\angular.json", "JSON", 0, 101, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\firebase.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 10, 0, 17
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\package-lock.json", "JSON", 0, 21727, 0, 0, 0, 0, 0, 0, 1, 21728
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 10, 30
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 8, 44
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 2, 4, 46
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app-routing.module.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 2, 3
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.module.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\contact\contact.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\contact\contact.component.html", "HTML", 0, 0, 0, 0, 0, 70, 0, 2, 11, 83
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\contact\contact.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\contact\contact.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\home\home.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\interfaces\project.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\navbar\navbar.component.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\navbar\navbar.component.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\offers\offers.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\offers\offers.component.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\offers\offers.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\offers\offers.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\profile.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\profile\profile.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\projects\projects.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\projects\projects.component.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 3, 2, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\projects\projects.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\projects\projects.component.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 1, 11, 59
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\timeline\timeline.component.css", "CSS", 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\timeline\timeline.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 2, 2, 22
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\timeline\timeline.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\timeline\timeline.component.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 25, 75
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\assets\projects.json", "JSON", 0, 126, 0, 0, 0, 0, 0, 0, 0, 126
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\environment\environment.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\main.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\styles.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\tailwind.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 32, 22029, 541, 15, 81, 273, 14, 23, 233, 23241